mercurys,M,a,capom,e,i,omega,mass,radio,mass_grav,period,x,y,z,vx,vy,vz
mercuryA0,270.66730252846685,0.05,348.85702046257666,0.04339660870183309,0.04305794022680708,211.38672930547466,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.030408011395266638,-0.03727906090755502,-3.190345540934771e-05,0.06082614642661047,-0.05180711485499204,-2.9365207936519163e-05
mercuryA1,131.7966120838249,0.05,263.99081976190973,0.03124930167833896,0.0033333575314637488,345.8375002389419,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.023742902616038633,-0.042240819548029024,-1.116456813053302e-06,0.06935295995120087,-0.03854260535448257,4.247395205762901e-06
mercuryA2,2.7716786357047196,0.05,293.284116812005,0.03933620144753672,0.03682050376862569,198.61269221076014,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.01963896314209352,-0.0479796245118933,-5.953541692729533e-07,0.06899784703046427,0.02714242520471081,4.76244032300016e-05
mercuryA3,330.18723438899104,0.05,21.972223093882427,0.014476531796036763,0.00036813314145469624,311.7946717889096,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.05014289070912437,0.007414420460238647,1.6472243530659983e-07,-0.010761868896705374,-0.0751117776218536,-4.216779814792089e-07
mercuryA4,300.98748903846774,0.05,227.98288949490643,0.027114810781281987,0.01727780403985908,124.75124415813475,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.03530903755907136,-0.033826614353290506,1.4738359577410321e-05,0.05350281793671315,0.05764201653648902,3.518602474679411e-07
mercuryA5,133.9300798481871,0.05,259.51148869133675,0.013659787363298675,0.044634322889281715,56.265981866466234,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.016511070290584885,0.047493312529382936,5.912411642432408e-06,-0.07193820809329492,0.026017326805912736,-5.8794191587062844e-05
mercuryA6,329.4105795050383,0.05,29.83958143621509,0.011689966770690025,0.018261617435624523,85.59049028485349,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.00013314291387128696,-0.05052573827044982,-1.3947703814598679e-05,0.07612310967161645,-0.0005889325964688677,-1.2235127602674103e-05
mercuryA7,105.38324652472957,0.05,94.31982217581283,0.03498642524429849,0.04610275265764471,264.5868782666368,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.0025471555240057907,-0.049751324277286915,9.716369713049345e-07,0.07692815468290491,0.006628592415276958,-6.212575731510149e-05
mercuryA8,106.24928334192163,0.05,89.5087426902175,0.008656751083396941,0.037569701925801766,307.21339428517575,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.04952509725636905,0.003308332712986674,-3.2454560344528974e-05,-0.005526016437746514,0.07729597940194037,4.05792259534529e-06
mercuryA9,350.6052642048297,0.05,322.79369507319404,0.014655420409499765,0.040197032098591434,98.77752749783727,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.04872331254882834,-0.010206516471400561,1.4966765413537871e-05,0.014783030691454792,0.07584091202565325,4.864944484548939e-05
mercuryA10,168.81191337082709,0.05,8.32243576238174,0.022712154595873474,0.02148533964443114,341.276557240967,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.024509809939440283,-0.04271979492765314,-1.7181124041990682e-05,0.06706061992414135,0.04001293079224743,1.120655999750599e-05
mercuryA11,21.903205382207645,0.05,207.02549576332825,0.030988574169419487,0.01318970098966691,283.21929957886397,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.029936249437883238,-0.041959309079774805,1.1735826442910512e-05,0.06083484070353928,0.04316113277398152,-2.4874824913145e-06
mercuryA12,124.68003890311115,0.05,118.13518566721363,0.017994109410472258,0.0397446779395557,138.40954486489045,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.04696891043925268,-0.015667008862828312,3.385607052211955e-05,0.02569294616595798,-0.07331152467465028,8.263968874508402e-06
mercuryA13,199.4027868183131,0.05,88.1880177119386,0.022177013329549012,0.029564393393925154,337.301184275487,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.042460927029411684,-0.026632681324603006,-2.2333245630259118e-05,0.039334695141262525,0.06589547203639852,-1.921126877022636e-05
mercuryA14,159.28082705508092,0.05,64.45155223820262,0.04185847989609667,0.042720159917377216,59.332460183308626,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.014430194622811355,-0.049216959108795935,-6.119036137513058e-06,0.07120869614636567,-0.02345567252635009,-5.544472320359398e-05
mercuryA15,197.45738862672732,0.05,15.673874179790154,0.032064086841798976,0.0008909980368941251,53.498050339640656,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.03686170557515704,-0.03588493075672925,-3.8242554089032293e-07,0.051383646979361194,-0.054274247170985127,-1.0285011689258131e-06
mercuryA16,279.8975014002275,0.05,112.77424438175407,0.042217703981450166,0.0015538274988458835,297.5640399285006,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.021209316579998375,-0.047506926660400496,1.0290666298714133e-06,0.06780773999714598,-0.029314994729617547,-1.3877920476456895e-06
mercuryA17,217.37702137342114,0.05,19.159510708022566,0.027906143963858966,0.04877685754369224,250.70146613770174,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.027768046398372232,0.04296621081058276,4.231019801904331e-05,-0.0624889979534493,-0.04177833943575488,-1.6136999881900478e-05
mercuryA18,239.38214164710445,0.05,72.27571448411346,0.013775974107275702,0.0031589386329336448,108.35135544931714,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.03941153302233397,-0.0298555221624245,1.568649672257843e-06,0.046469314022696266,-0.06238750228984727,-3.487581060213205e-06
mercuryA19,100.01829542691861,0.05,303.8131109346281,0.0010267084704859487,0.045593951131550764,342.09852205194056,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.011678721235607151,-0.04857094111542915,-2.923033726634284e-05,0.07487449364119782,-0.01796342977366867,4.154975401943848e-05
mercuryA20,44.78120162956765,0.05,12.869656475497138,0.03215372850704319,0.03830889835024484,351.9090721131247,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.02924945529577426,0.03919535853701483,2.1192401528401982e-05,-0.06189322147741287,0.04850008235169136,4.083069969152255e-05
mercuryA21,73.74358987349778,0.05,256.5251832507997,0.0193241874348135,0.001513738004548365,293.16947623554995,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.00235084328086547,0.050044215143385,-3.684844697391601e-07,-0.07660957767532534,-0.0050761821211481074,-1.9370367814617576e-06
mercuryA22,145.90794380405006,0.05,115.77585556579689,0.04843406386761064,0.01705902280010715,162.57192944264378,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.049583067600235675,0.0032685043869671027,-1.371699231736055e-05,-0.0013752928676426628,0.07739553597734891,-9.651748752925497e-06
mercuryA23,53.63339987336734,0.05,164.86882729910093,0.005018836009424599,0.018927774030051053,251.19414837662757,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.018086130255190732,-0.04687656096145138,1.6508483093363776e-05,0.07145406117456672,-0.027476770292585502,2.6007078062866216e-06
mercuryA24,230.47394374058487,0.05,71.83441778893882,0.028584156185613097,0.0005955157426188241,200.67526503136753,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.04580124933558238,0.0215855219382264,5.222640507648735e-07,-0.03061213634436943,-0.06952140244234356,7.703950241424893e-08
mercuryA25,128.69515822896852,0.05,295.1574191657273,0.025383799096692777,0.009556167388254579,294.8559978783716,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.03686677126380161,0.03561770468682146,8.090989825908893e-06,-0.05197317607472903,0.05408971194837074,-4.0110953214807605e-06
mercuryA26,258.14796324438925,0.05,170.00293263037418,0.04746066947773474,0.005559439386748105,11.058324194221889,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.0394179765713745,-0.0273776263970494,3.2800988417363584e-06,0.04400232259912768,-0.0669111965209295,5.652663912311806e-06
mercuryA27,79.95484352719795,0.05,290.3824798385541,0.028658204045821367,0.039176475466954123,212.96764839933385,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.03781757668357755,0.033107516896634076,3.212340831883034e-05,-0.0520112279965711,0.05613723962552083,-1.996776553335568e-05
mercuryA28,286.34442949990654,0.05,282.9106955389046,0.004470884773018502,0.027876389018871114,151.57285193402413,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.009221336709599735,-0.04934635170561666,-9.912372833988278e-07,0.07529065875993583,0.01422348336386655,3.725166222365226e-05
mercuryA29,341.874630026252,0.05,152.67804276517234,0.026116040617412253,0.04892644556368682,300.9263041238173,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.023109410582138716,-0.04559422832698136,4.364833874423955e-05,0.06663715745976212,-0.03491800886946698,3.7300562587500117e-07
mercuryA30,42.83832675366935,0.05,141.83557628587667,0.040903234631135404,0.015407960614348643,248.3533100615684,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.037867503632802224,-0.0314498389763534,3.571372056344384e-07,0.04760891168517681,0.061953012021925234,-2.101028756141997e-05
mercuryA31,330.12077610441133,0.05,342.0824928373203,0.00335455963415941,0.03301542852203982,19.24338327881309,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.04827738981913481,-0.01362203442608065,-1.6027080905092116e-05,0.02088526043206465,-0.07378186250807575,-3.6750772529716974e-05
mercuryA32,114.64790536056124,0.05,108.8612966663486,0.04143288574465506,0.04285993084726894,186.69983278509005,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,0.04370627665203982,0.024375251900004724,-3.68333963703005e-05,-0.034625289420669746,0.06862203126110093,7.91586159779177e-06
mercuryA33,156.09465242762386,0.05,64.34040898571709,0.01563060946120568,0.027310292506601302,236.40466461718665,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.022660344106938485,-0.04409464967097594,6.347239283296335e-07,0.06946583203264645,-0.03455269152107396,-3.697763188736877e-05
mercuryA34,191.52390387376906,0.05,359.15097963069513,0.005277207380881471,0.015687492142588993,93.55941696018803,5.9723e+24,6378.137,8.887539e-10,4.083677935193059,-0.003252589535046913,-0.05015683398037027,-1.3744548923087305e-05,0.07636464549711398,-0.004997619323708419,-1.0583746555913916e-06
